
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 40959
Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 41071
Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 40287
Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 40491
Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 40843
Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 42066
Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 43351
Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 40996
Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 42456
Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 41873
Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 42648
Total, Regiunea NORD-EST, Anul 2015, Numar persoane, 43891
Total, Regiunea NORD-EST, Anul 2016, Numar persoane, 43245
Total, Bacau, Anul 1990, Numar persoane, 6628
Total, Bacau, Anul 1991, Numar persoane, 7011
Total, Bacau, Anul 1992, Numar persoane, 7070
Total, Bacau, Anul 1993, Numar persoane, 7174
Total, Bacau, Anul 1994, Numar persoane, 7398
Total, Bacau, Anul 1995, Numar persoane, 7624
Total, Bacau, Anul 1996, Numar persoane, 8191
Total, Bacau, Anul 1997, Numar persoane, 7787
Total, Bacau, Anul 1998, Numar persoane, 7642
Total, Bacau, Anul 1999, Numar persoane, 7785
Total, Bacau, Anul 2000, Numar persoane, 7630
Total, Bacau, Anul 2001, Numar persoane, 7831
Total, Bacau, Anul 2002, Numar persoane, 8348
Total, Bacau, Anul 2003, Numar persoane, 8566
Total, Bacau, Anul 2004, Numar persoane, 7898
Total, Bacau, Anul 2005, Numar persoane, 8198
Total, Bacau, Anul 2006, Numar persoane, 7865
Total, Bacau, Anul 2007, Numar persoane, 8154
Total, Bacau, Anul 2008, Numar persoane, 8147
Total, Bacau, Anul 2009, Numar persoane, 8260
Total, Bacau, Anul 2010, Numar persoane, 8627
Total, Bacau, Anul 2011, Numar persoane, 8134
Total, Bacau, Anul 2012, Numar persoane, 8309
Total, Bacau, Anul 2013, Numar persoane, 8471
Total, Bacau, Anul 2014, Numar persoane, 8500
Total, Bacau, Anul 2015, Numar persoane, 8569
Total, Bacau, Anul 2016, Numar persoane, 8668
Total, Botosani, Anul 1990, Numar persoane, 5398
Total, Botosani, Anul 1991, Numar persoane, 5500
Total, Botosani, Anul 1992, Numar persoane, 5832
Total, Botosani, Anul 1993, Numar persoane, 5758
Total, Botosani, Anul 1994, Numar persoane, 6049
Total, Botosani, Anul 1995, Numar persoane, 6028
Total, Botosani, Anul 1996, Numar persoane, 6744
Total, Botosani, Anul 1997, Numar persoane, 6272
Total, Botosani, Anul 1998, Numar persoane, 6169
Total, Botosani, Anul 1999, Numar persoane, 5724
Total, Botosani, Anul 2000, Numar persoane, 5847
Total, Botosani, Anul 2001, Numar persoane, 5823
Total, Botosani, Anul 2002, Numar persoane, 6035
Total, Botosani, Anul 2003, Numar persoane, 5991
Total, Botosani, Anul 2004, Numar persoane, 5973
Total, Botosani, Anul 2005, Numar persoane, 5651
Total, Botosani, Anul 2006, Numar persoane, 5759
Total, Botosani, Anul 2007, Numar persoane, 5681
Total, Botosani, Anul 2008, Numar persoane, 5633
Total, Botosani, Anul 2009, Numar persoane, 5871
Total, Botosani, Anul 2010, Numar persoane, 5837
Total, Botosani, Anul 2011, Numar persoane, 5564
Total, Botosani, Anul 2012, Numar persoane, 5693
Total, Botosani, Anul 2013, Numar persoane, 5583
Total, Botosani, Anul 2014, Numar persoane, 5867
Total, Botosani, Anul 2015, Numar persoane, 5860
Total, Botosani, Anul 2016, Numar persoane, 5798
Total, Iasi, Anul 1990, Numar persoane, 6735
Total, Iasi, Anul 1991, Numar persoane, 7035
Total, Iasi, Anul 1992, Numar persoane, 7454
Total, Iasi, Anul 1993, Numar persoane, 7733
Total, Iasi, Anul 1994, Numar persoane, 8138
Total, Iasi, Anul 1995, Numar persoane, 8240
Total, Iasi, Anul 1996, Numar persoane, 8915
Total, Iasi, Anul 1997, Numar persoane, 8612
Total, Iasi, Anul 1998, Numar persoane, 8064
Total, Iasi, Anul 1999, Numar persoane, 8084
Total, Iasi, Anul 2000, Numar persoane, 7997
Total, Iasi, Anul 2001, Numar persoane, 8188
Total, Iasi, Anul 2002, Numar persoane, 8436
Total, Iasi, Anul 2003, Numar persoane, 8693
Total, Iasi, Anul 2004, Numar persoane, 8091
Total, Iasi, Anul 2005, Numar persoane, 8146
Total, Iasi, Anul 2006, Numar persoane, 7895
Total, Iasi, Anul 2007, Numar persoane, 7967
Total, Iasi, Anul 2008, Numar persoane, 8091
Total, Iasi, Anul 2009, Numar persoane, 8349
Total, Iasi, Anul 2010, Numar persoane, 8781
Total, Iasi, Anul 2011, Numar persoane, 8146
Total, Iasi, Anul 2012, Numar persoane, 8660
Total, Iasi, Anul 2013, Numar persoane, 8300
Total, Iasi, Anul 2014, Numar persoane, 8634
Total, Iasi, Anul 2015, Numar persoane, 9066
Total, Iasi, Anul 2016, Numar persoane, 8779
Total, Neamt, Anul 1990, Numar persoane, 5456
Total, Neamt, Anul 1991, Numar persoane, 5689
Total, Neamt, Anul 1992, Numar persoane, 5900
Total, Neamt, Anul 1993, Numar persoane, 5876
Total, Neamt, Anul 1994, Numar persoane, 5957
Total, Neamt, Anul 1995, Numar persoane, 6203
Total, Neamt, Anul 1996, Numar persoane, 6562
Total, Neamt, Anul 1997, Numar persoane, 6542
Total, Neamt, Anul 1998, Numar persoane, 6124
Total, Neamt, Anul 1999, Numar persoane, 6419
Total, Neamt, Anul 2000, Numar persoane, 6185
Total, Neamt, Anul 2001, Numar persoane, 6246
Total, Neamt, Anul 2002, Numar persoane, 6695
Total, Neamt, Anul 2003, Numar persoane, 6666
Total, Neamt, Anul 2004, Numar persoane, 6305
Total, Neamt, Anul 2005, Numar persoane, 6299
Total, Neamt, Anul 2006, Numar persoane, 6295
Total, Neamt, Anul 2007, Numar persoane, 6125
Total, Neamt, Anul 2008, Numar persoane, 6422
Total, Neamt, Anul 2009, Numar persoane, 6542
Total, Neamt, Anul 2010, Numar persoane, 6763
Total, Neamt, Anul 2011, Numar persoane, 6393
Total, Neamt, Anul 2012, Numar persoane, 6635
Total, Neamt, Anul 2013, Numar persoane, 6666
Total, Neamt, Anul 2014, Numar persoane, 6563
Total, Neamt, Anul 2015, Numar persoane, 6965
Total, Neamt, Anul 2016, Numar persoane, 6712
Total, Suceava, Anul 1990, Numar persoane, 6801
Total, Suceava, Anul 1991, Numar persoane, 6933
Total, Suceava, Anul 1992, Numar persoane, 7350
Total, Suceava, Anul 1993, Numar persoane, 7156
Total, Suceava, Anul 1994, Numar persoane, 7401
Total, Suceava, Anul 1995, Numar persoane, 7656
Total, Suceava, Anul 1996, Numar persoane, 7921
Total, Suceava, Anul 1997, Numar persoane, 7802
Total, Suceava, Anul 1998, Numar persoane, 7633
Total, Suceava, Anul 1999, Numar persoane, 7438
Total, Suceava, Anul 2000, Numar persoane, 7287
Total, Suceava, Anul 2001, Numar persoane, 7169
Total, Suceava, Anul 2002, Numar persoane, 7661
Total, Suceava, Anul 2003, Numar persoane, 7529
Total, Suceava, Anul 2004, Numar persoane, 7591
Total, Suceava, Anul 2005, Numar persoane, 7570
Total, Suceava, Anul 2006, Numar persoane, 7440
Total, Suceava, Anul 2007, Numar persoane, 7434
Total, Suceava, Anul 2008, Numar persoane, 7348
Total, Suceava, Anul 2009, Numar persoane, 7550
Total, Suceava, Anul 2010, Numar persoane, 7579
Total, Suceava, Anul 2011, Numar persoane, 7493
Total, Suceava, Anul 2012, Numar persoane, 7638
Total, Suceava, Anul 2013, Numar persoane, 7520
Total, Suceava, Anul 2014, Numar persoane, 7715
Total, Suceava, Anul 2015, Numar persoane, 7933
Total, Suceava, Anul 2016, Numar persoane, 7719
Total, Vaslui, Anul 1990, Numar persoane, 4637
Total, Vaslui, Anul 1991, Numar persoane, 4789
Total, Vaslui, Anul 1992, Numar persoane, 4948
Total, Vaslui, Anul 1993, Numar persoane, 5183
Total, Vaslui, Anul 1994, Numar persoane, 5635
Total, Vaslui, Anul 1995, Numar persoane, 5426
Total, Vaslui, Anul 1996, Numar persoane, 6056
Total, Vaslui, Anul 1997, Numar persoane, 5639
Total, Vaslui, Anul 1998, Numar persoane, 5279
Total, Vaslui, Anul 1999, Numar persoane, 5173
Total, Vaslui, Anul 2000, Numar persoane, 5230
Total, Vaslui, Anul 2001, Numar persoane, 5282
Total, Vaslui, Anul 2002, Numar persoane, 5640
Total, Vaslui, Anul 2003, Numar persoane, 5819
Total, Vaslui, Anul 2004, Numar persoane, 5101
Total, Vaslui, Anul 2005, Numar persoane, 5207
Total, Vaslui, Anul 2006, Numar persoane, 5033
Total, Vaslui, Anul 2007, Numar persoane, 5130
Total, Vaslui, Anul 2008, Numar persoane, 5202
Total, Vaslui, Anul 2009, Numar persoane, 5494
Total, Vaslui, Anul 2010, Numar persoane, 5764
Total, Vaslui, Anul 2011, Numar persoane, 5266
Total, Vaslui, Anul 2012, Numar persoane, 5521
Total, Vaslui, Anul 2013, Numar persoane, 5333
Total, Vaslui, Anul 2014, Numar persoane, 5369
Total, Vaslui, Anul 2015, Numar persoane, 5498
Total, Vaslui, Anul 2016, Numar persoane, 5569
Total, Regiunea SUD-EST, Anul 1990, Numar persoane, 29405
Total, Regiunea SUD-EST, Anul 1991, Numar persoane, 30196
Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 30672
Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 31070
Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 33122
Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 33265
Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 35309
Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 34368
Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 32809
Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 32960
Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 31969
Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 33128
Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 33835
Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 33756
Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 32334
Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 32431
Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 32153
Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 32375
Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 32805
Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 33215
Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 34042
Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 33042
Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 33641
Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 33036
Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 33950
Total, Regiunea SUD-EST, Anul 2015, Numar persoane, 34157
Total, Regiunea SUD-EST, Anul 2016, Numar persoane, 34444
Total, Braila, Anul 1990, Numar persoane, 4162
Total, Braila, Anul 1991, Numar persoane, 4272
Total, Braila, Anul 1992, Numar persoane, 4332
Total, Braila, Anul 1993, Numar persoane, 4346
Total, Braila, Anul 1994, Numar persoane, 4437
Total, Braila, Anul 1995, Numar persoane, 4736
Total, Braila, Anul 1996, Numar persoane, 5066
Total, Braila, Anul 1997, Numar persoane, 4760
Total, Braila, Anul 1998, Numar persoane, 4538
Total, Braila, Anul 1999, Numar persoane, 4828
Total, Braila, Anul 2000, Numar persoane, 4586
Total, Braila, Anul 2001, Numar persoane, 4513
Total, Braila, Anul 2002, Numar persoane, 4700
Total, Braila, Anul 2003, Numar persoane, 4814
Total, Braila, Anul 2004, Numar persoane, 4706
Total, Braila, Anul 2005, Numar persoane, 4427
Total, Braila, Anul 2006, Numar persoane, 4560
Total, Braila, Anul 2007, Numar persoane, 4675
Total, Braila, Anul 2008, Numar persoane, 4680
Total, Braila, Anul 2009, Numar persoane, 4662
Total, Braila, Anul 2010, Numar persoane, 4740
Total, Braila, Anul 2011, Numar persoane, 4642
Total, Braila, Anul 2012, Numar persoane, 4802
Total, Braila, Anul 2013, Numar persoane, 4674
Total, Braila, Anul 2014, Numar persoane, 4744
Total, Braila, Anul 2015, Numar persoane, 4841
Total, Braila, Anul 2016, Numar persoane, 4851
Total, Buzau, Anul 1990, Numar persoane, 6055
Total, Buzau, Anul 1991, Numar persoane, 6343
Total, Buzau, Anul 1992, Numar persoane, 6399
Total, Buzau, Anul 1993, Numar persoane, 6308
Total, Buzau, Anul 1994, Numar persoane, 6553
Total, Buzau, Anul 1995, Numar persoane, 6561
Total, Buzau, Anul 1996, Numar persoane, 7323
Total, Buzau, Anul 1997, Numar persoane, 7060
Total, Buzau, Anul 1998, Numar persoane, 6614
Total, Buzau, Anul 1999, Numar persoane, 6611
Total, Buzau, Anul 2000, Numar persoane, 6283
Total, Buzau, Anul 2001, Numar persoane, 6688
Total, Buzau, Anul 2002, Numar persoane, 6839
Total, Buzau, Anul 2003, Numar persoane, 6844
Total, Buzau, Anul 2004, Numar persoane, 6458
Total, Buzau, Anul 2005, Numar persoane, 6639
Total, Buzau, Anul 2006, Numar persoane, 6440
Total, Buzau, Anul 2007, Numar persoane, 6401
Total, Buzau, Anul 2008, Numar persoane, 6445
Total, Buzau, Anul 2009, Numar persoane, 6620
Total, Buzau, Anul 2010, Numar persoane, 6724
Total, Buzau, Anul 2011, Numar persoane, 6666
Total, Buzau, Anul 2012, Numar persoane, 6565
Total, Buzau, Anul 2013, Numar persoane, 6680
Total, Buzau, Anul 2014, Numar persoane, 6704
Total, Buzau, Anul 2015, Numar persoane, 6676
Total, Buzau, Anul 2016, Numar persoane, 6710
Total, Constanta, Anul 1990, Numar persoane, 6478
Total, Constanta, Anul 1991, Numar persoane, 6397
Total, Constanta, Anul 1992, Numar persoane, 6625
Total, Constanta, Anul 1993, Numar persoane, 6722
Total, Constanta, Anul 1994, Numar persoane, 7237
Total, Constanta, Anul 1995, Numar persoane, 7499
Total, Constanta, Anul 1996, Numar persoane, 7644
Total, Constanta, Anul 1997, Numar persoane, 7619
Total, Constanta, Anul 1998, Numar persoane, 7473
Total, Constanta, Anul 1999, Numar persoane, 7374
Total, Constanta, Anul 2000, Numar persoane, 7159
Total, Constanta, Anul 2001, Numar persoane, 7505
Total, Constanta, Anul 2002, Numar persoane, 7546
Total, Constanta, Anul 2003, Numar persoane, 7374
Total, Constanta, Anul 2004, Numar persoane, 7113
Total, Constanta, Anul 2005, Numar persoane, 7286
Total, Constanta, Anul 2006, Numar persoane, 7359
Total, Constanta, Anul 2007, Numar persoane, 7389
Total, Constanta, Anul 2008, Numar persoane, 7510
Total, Constanta, Anul 2009, Numar persoane, 7509
Total, Constanta, Anul 2010, Numar persoane, 7739
Total, Constanta, Anul 2011, Numar persoane, 7689
Total, Constanta, Anul 2012, Numar persoane, 7796
Total, Constanta, Anul 2013, Numar persoane, 7642
Total, Constanta, Anul 2014, Numar persoane, 7846
Total, Constanta, Anul 2015, Numar persoane, 7879
Total, Constanta, Anul 2016, Numar persoane, 8115
Total, Galati, Anul 1990, Numar persoane, 5570
Total, Galati, Anul 1991, Numar persoane, 5773
Total, Galati, Anul 1992, Numar persoane, 5906
Total, Galati, Anul 1993, Numar persoane, 6222
Total, Galati, Anul 1994, Numar persoane, 6795
Total, Galati, Anul 1995, Numar persoane, 6731
Total, Galati, Anul 1996, Numar persoane, 6912
Total, Galati, Anul 1997, Numar persoane, 6870
Total, Galati, Anul 1998, Numar persoane, 6577
Total, Galati, Anul 1999, Numar persoane, 6507
Total, Galati, Anul 2000, Numar persoane, 6238
Total, Galati, Anul 2001, Numar persoane, 6526
Total, Galati, Anul 2002, Numar persoane, 6879
Total, Galati, Anul 2003, Numar persoane, 6858
Total, Galati, Anul 2004, Numar persoane, 6466
Total, Galati, Anul 2005, Numar persoane, 6596
Total, Galati, Anul 2006, Numar persoane, 6426
Total, Galati, Anul 2007, Numar persoane, 6556
Total, Galati, Anul 2008, Numar persoane, 6638
Total, Galati, Anul 2009, Numar persoane, 6697
Total, Galati, Anul 2010, Numar persoane, 6911
Total, Galati, Anul 2011, Numar persoane, 6402
Total, Galati, Anul 2012, Numar persoane, 6725
Total, Galati, Anul 2013, Numar persoane, 6540
Total, Galati, Anul 2014, Numar persoane, 6827
Total, Galati, Anul 2015, Numar persoane, 6870
Total, Galati, Anul 2016, Numar persoane, 6971
Total, Tulcea, Anul 1990, Numar persoane, 3019
Total, Tulcea, Anul 1991, Numar persoane, 2990
Total, Tulcea, Anul 1992, Numar persoane, 2981
Total, Tulcea, Anul 1993, Numar persoane, 3075
Total, Tulcea, Anul 1994, Numar persoane, 3328
Total, Tulcea, Anul 1995, Numar persoane, 3093
Total, Tulcea, Anul 1996, Numar persoane, 3350
Total, Tulcea, Anul 1997, Numar persoane, 3254
Total, Tulcea, Anul 1998, Numar persoane, 3132
Total, Tulcea, Anul 1999, Numar persoane, 3163
Total, Tulcea, Anul 2000, Numar persoane, 3115
Total, Tulcea, Anul 2001, Numar persoane, 3175
Total, Tulcea, Anul 2002, Numar persoane, 3195
Total, Tulcea, Anul 2003, Numar persoane, 3154
Total, Tulcea, Anul 2004, Numar persoane, 2940
Total, Tulcea, Anul 2005, Numar persoane, 2779
Total, Tulcea, Anul 2006, Numar persoane, 2919
Total, Tulcea, Anul 2007, Numar persoane, 2895
Total, Tulcea, Anul 2008, Numar persoane, 2929
Total, Tulcea, Anul 2009, Numar persoane, 3019
Total, Tulcea, Anul 2010, Numar persoane, 3141
Total, Tulcea, Anul 2011, Numar persoane, 3005
Total, Tulcea, Anul 2012, Numar persoane, 3042
Total, Tulcea, Anul 2013, Numar persoane, 2906
Total, Tulcea, Anul 2014, Numar persoane, 3096
Total, Tulcea, Anul 2015, Numar persoane, 3042
Total, Tulcea, Anul 2016, Numar persoane, 3084
Total, Vrancea, Anul 1990, Numar persoane, 4121
Total, Vrancea, Anul 1991, Numar persoane, 4421
Total, Vrancea, Anul 1992, Numar persoane, 4429
Total, Vrancea, Anul 1993, Numar persoane, 4397
Total, Vrancea, Anul 1994, Numar persoane, 4772
Total, Vrancea, Anul 1995, Numar persoane, 4645
Total, Vrancea, Anul 1996, Numar persoane, 5014
Total, Vrancea, Anul 1997, Numar persoane, 4805
Total, Vrancea, Anul 1998, Numar persoane, 4475
Total, Vrancea, Anul 1999, Numar persoane, 4477
Total, Vrancea, Anul 2000, Numar persoane, 4588
Total, Vrancea, Anul 2001, Numar persoane, 4721
Total, Vrancea, Anul 2002, Numar persoane, 4676
Total, Vrancea, Anul 2003, Numar persoane, 4712
Total, Vrancea, Anul 2004, Numar persoane, 4651
Total, Vrancea, Anul 2005, Numar persoane, 4704
Total, Vrancea, Anul 2006, Numar persoane, 4449
Total, Vrancea, Anul 2007, Numar persoane, 4459
Total, Vrancea, Anul 2008, Numar persoane, 4603
Total, Vrancea, Anul 2009, Numar persoane, 4708
Total, Vrancea, Anul 2010, Numar persoane, 4787
Total, Vrancea, Anul 2011, Numar persoane, 4638
Total, Vrancea, Anul 2012, Numar persoane, 4711
Total, Vrancea, Anul 2013, Numar persoane, 4594
Total, Vrancea, Anul 2014, Numar persoane, 4733
Total, Vrancea, Anul 2015, Numar persoane, 4849
Total, Vrancea, Anul 2016, Numar persoane, 4713
Boli infectioase si parazitare, TOTAL, Anul 1990, Numar persoane, 2761
Boli infectioase si parazitare, TOTAL, Anul 1991, Numar persoane, 2563
Boli infectioase si parazitare, TOTAL, Anul 1992, Numar persoane, 2822
Boli infectioase si parazitare, TOTAL, Anul 1993, Numar persoane, 3129
Boli infectioase si parazitare, TOTAL, Anul 1994, Numar persoane, 3523
Boli infectioase si parazitare, TOTAL, Anul 1995, Numar persoane, 3654
Boli infectioase si parazitare, TOTAL, Anul 1996, Numar persoane, 3859
Boli infectioase si parazitare, TOTAL, Anul 1997, Numar persoane, 3991
Boli infectioase si parazitare, TOTAL, Anul 1998, Numar persoane, 3680
Boli infectioase si parazitare, TOTAL, Anul 1999, Numar persoane, 3236
Boli infectioase si parazitare, TOTAL, Anul 2000, Numar persoane, 3171
Boli infectioase si parazitare, TOTAL, Anul 2001, Numar persoane, 3451
Boli infectioase si parazitare, TOTAL, Anul 2002, Numar persoane, 3273
Boli infectioase si parazitare, TOTAL, Anul 2003, Numar persoane, 3056
Boli infectioase si parazitare, TOTAL, Anul 2004, Numar persoane, 2900
Boli infectioase si parazitare, TOTAL, Anul 2005, Numar persoane, 2589
Boli infectioase si parazitare, TOTAL, Anul 2006, Numar persoane, 2512
Boli infectioase si parazitare, TOTAL, Anul 2007, Numar persoane, 2375
Boli infectioase si parazitare, TOTAL, Anul 2008, Numar persoane, 2485
Boli infectioase si parazitare, TOTAL, Anul 2009, Numar persoane, 2358
Boli infectioase si parazitare, TOTAL, Anul 2010, Numar persoane, 2474
Boli infectioase si parazitare, TOTAL, Anul 2011, Numar persoane, 2233
Boli infectioase si parazitare, TOTAL, Anul 2012, Numar persoane, 2396
Boli infectioase si parazitare, TOTAL, Anul 2013, Numar persoane, 2362
Boli infectioase si parazitare, TOTAL, Anul 2014, Numar persoane, 2672
Boli infectioase si parazitare, TOTAL, Anul 2015, Numar persoane, 2738
Boli infectioase si parazitare, TOTAL, Anul 2016, Numar persoane, 3131
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1990, Numar persoane, 558
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1991, Numar persoane, 538
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1992, Numar persoane, 577
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1993, Numar persoane, 716
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1994, Numar persoane, 700
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 662
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 670
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 764
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 704
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 650
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 608
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 634
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 657
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 563
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 556
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 503
Boli infectioase si parazitare, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 503
